Real value,Linear Regression,KNeighbors Regressor,DecisionTreeRegressor,Random Forest,XGBRegressor,Gradient Boosting Regressor,Ada Boost Regressor,Support Vector Regressor
0.29,0.4852766302949976,0.344,0.24,0.40179499999999996,0.29693976044654846,0.5208900144324298,0.5768187134502935,0.4713549818813586
0.07,0.3112245883521132,0.08600000000000001,0.11,0.19639999999999994,0.05599227547645569,0.2820361060265402,0.29933649289099545,0.22875856821734242
0.41,0.5988230658620756,0.324,0.25,0.4277000000000001,0.432780921459198,0.422211130121166,0.46555555555555533,0.4294808199842319
0.95,0.4407007423578491,0.5660000000000001,0.78,0.5364000000000001,0.7629273533821106,0.6217512908284165,0.5829847494553375,0.5707157490723336
0.48,0.30623729284661305,0.276,0.32,0.26749999999999996,0.3007664382457733,0.21919745814160085,0.26580645161290306,0.2257064368505432
0.13,0.02156161896518144,0.154,0.17,0.163,0.1472739279270172,0.10370868934955482,0.24425149700598806,0.12113406514528263
0.01,0.3471910817028029,0.057999999999999996,0.03,0.07170000000000006,-0.001740021863952279,0.09356856295581237,0.16182795698924754,0.1978228129315446
0.87,0.49895445275508743,0.8620000000000001,0.91,0.8141000000000002,0.8421589732170105,0.7379249452842538,0.6598697916666675,0.7931862110576156
0.82,0.6283744334461863,0.828,0.8,0.805499999999999,0.8208630681037903,0.8151064766274976,0.7300387596899226,0.8192393728723102
0.2,0.349822011688348,0.21000000000000002,0.21,0.21710000000000018,0.2354297786951065,0.4194654678078115,0.551127819548872,0.25476713921002025
0.99,0.8668625198567053,0.97,0.9900000000000001,0.9879999999999987,0.9711076021194458,0.9243844814101213,0.7405839416058397,0.8492562037725959
1.07,0.569306255951757,0.9420000000000002,1.05,0.999099999999999,1.0176432132720947,0.7938171334086531,0.68547974413646,0.9077539252937779
0.8,0.9626712102236208,0.842,0.88,0.8046000000000002,0.7945206761360168,0.703600912528985,0.6486567164179101,0.7801622159244095
0.07,0.27890655496229655,0.098,0.11,0.09300000000000004,0.08220092207193375,0.12966432664513014,0.2298029556650247,0.16882243916375483
0.76,0.6056078802804221,0.488,0.87,0.7072999999999992,0.7722426652908325,0.6410802083940946,0.6093913043478271,0.4758083636658099
0.87,1.1032364677867894,0.898,0.88,0.8873000000000002,0.887850821018219,0.9387948653707139,0.8009832134292559,0.982952408744826
1.01,0.8969657127205726,0.998,1.0,0.9997,1.0117779970169067,0.9383020304172038,0.7560543130990447,0.9760209739808225
0.02,0.3034377246413854,0.026000000000000002,0.01,0.018700000000000012,0.018160121515393257,0.036452322304815044,0.1768571428571429,0.1534781944738242
